case_id,activity,timestamp,resource,document,detail,source,due_date,customer,customer_country,salesperson,warehouse,order_amount,currency,products
S00002,Invoice posted,2025-09-05T06:45:26+00:00,Julie Martin,INV/2025/00002,,history,2025-10-05,Bistro Flagey Corner,Belgium,Tom Peeters,Brussels DC,564.00,EUR,Earl Grey Tea 500g; Espresso Beans Brazil 1kg; Espresso Beans Ethiopia 1kg
S00002,Payment received,2025-10-10T11:40:47+00:00,Julie Martin,INV/2025/00002,,history,,Bistro Flagey Corner,Belgium,Tom Peeters,Brussels DC,564.00,EUR,Earl Grey Tea 500g; Espresso Beans Brazil 1kg; Espresso Beans Ethiopia 1kg
S00003,Quotation created,2025-09-02T14:58:44+00:00,Kasia Nowak,S00003,,history,,Coworking Praga,Poland,Kasia Nowak,Warsaw DC,520.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00003,Quotation sent,2025-09-03T06:54:58+00:00,Kasia Nowak,S00003,,history,,Coworking Praga,Poland,Kasia Nowak,Warsaw DC,520.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00003,Order confirmed,2025-09-03T13:28:10+00:00,Kasia Nowak,S00003,,history,,Coworking Praga,Poland,Kasia Nowak,Warsaw DC,520.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00003,Goods shipped,2025-09-04T06:00:42+00:00,Ola Wiśniewska,WAW/OUT/00001,,history,,Coworking Praga,Poland,Kasia Nowak,Warsaw DC,520.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00003,Invoice posted,2025-09-05T09:26:10+00:00,Anna Kowalczyk,INV/2025/00003,,history,2025-10-05,Coworking Praga,Poland,Kasia Nowak,Warsaw DC,520.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00003,Payment received,2025-11-24T07:37:00+00:00,Anna Kowalczyk,INV/2025/00003,,history,,Coworking Praga,Poland,Kasia Nowak,Warsaw DC,520.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00004,Quotation created,2025-09-03T06:43:54+00:00,Kasia Nowak,S00004,,history,,Cukiernia Stare Miasto,Poland,Kasia Nowak,Warsaw DC,768.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00004,Quotation sent,2025-09-03T07:31:29+00:00,Kasia Nowak,S00004,,history,,Cukiernia Stare Miasto,Poland,Kasia Nowak,Warsaw DC,768.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00004,Order confirmed,2025-09-08T06:13:20+00:00,Kasia Nowak,S00004,,history,,Cukiernia Stare Miasto,Poland,Kasia Nowak,Warsaw DC,768.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00004,Goods shipped,2025-09-09T06:49:28+00:00,Ola Wiśniewska,WAW/OUT/00002,,history,,Cukiernia Stare Miasto,Poland,Kasia Nowak,Warsaw DC,768.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00004,Invoice posted,2025-09-10T06:16:39+00:00,Anna Kowalczyk,INV/2025/00004,,history,2025-10-10,Cukiernia Stare Miasto,Poland,Kasia Nowak,Warsaw DC,768.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00004,Payment received,2025-10-13T06:23:17+00:00,Anna Kowalczyk,INV/2025/00004,,history,,Cukiernia Stare Miasto,Poland,Kasia Nowak,Warsaw DC,768.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00005,Quotation created,2025-09-03T12:03:26+00:00,Piotr Zieliński,S00005,,history,,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,1036.00,EUR,Decaf Colombia Beans 1kg; Green Tea Sencha 500g; Oat Milk Barista 12x1L
S00005,Quotation sent,2025-09-04T06:29:49+00:00,Piotr Zieliński,S00005,,history,,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,1036.00,EUR,Decaf Colombia Beans 1kg; Green Tea Sencha 500g; Oat Milk Barista 12x1L
S00005,Order confirmed,2025-09-08T06:42:45+00:00,Piotr Zieliński,S00005,,history,,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,1036.00,EUR,Decaf Colombia Beans 1kg; Green Tea Sencha 500g; Oat Milk Barista 12x1L
S00005,Goods shipped,2025-09-08T12:18:27+00:00,Ola Wiśniewska,WAW/OUT/00003,,history,,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,1036.00,EUR,Decaf Colombia Beans 1kg; Green Tea Sencha 500g; Oat Milk Barista 12x1L
S00005,Invoice posted,2025-09-11T06:55:32+00:00,Anna Kowalczyk,INV/2025/00005,,history,2025-10-11,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,1036.00,EUR,Decaf Colombia Beans 1kg; Green Tea Sencha 500g; Oat Milk Barista 12x1L
S00005,Payment received,2025-10-07T06:46:30+00:00,Anna Kowalczyk,INV/2025/00005,,history,,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,1036.00,EUR,Decaf Colombia Beans 1kg; Green Tea Sencha 500g; Oat Milk Barista 12x1L
S00006,Quotation created,2025-09-08T06:09:55+00:00,Tom Peeters,S00006,,history,,Espresso Point Wavre,Belgium,Tom Peeters,Brussels DC,90.00,EUR,Vanilla Syrup 1L
S00006,Quotation sent,2025-09-08T07:45:47+00:00,Tom Peeters,S00006,,history,,Espresso Point Wavre,Belgium,Tom Peeters,Brussels DC,90.00,EUR,Vanilla Syrup 1L
S00006,Order confirmed,2025-09-09T06:35:48+00:00,Tom Peeters,S00006,,history,,Espresso Point Wavre,Belgium,Tom Peeters,Brussels DC,90.00,EUR,Vanilla Syrup 1L
S00006,Goods shipped,2025-09-10T06:05:20+00:00,Marc Dubois,BRU/OUT/00003,,history,,Espresso Point Wavre,Belgium,Tom Peeters,Brussels DC,90.00,EUR,Vanilla Syrup 1L
S00006,Invoice posted,2025-09-11T07:26:28+00:00,Julie Martin,INV/2025/00006,,history,2025-10-11,Espresso Point Wavre,Belgium,Tom Peeters,Brussels DC,90.00,EUR,Vanilla Syrup 1L
S00006,Payment received,2025-09-16T07:26:08+00:00,Julie Martin,INV/2025/00006,,history,,Espresso Point Wavre,Belgium,Tom Peeters,Brussels DC,90.00,EUR,Vanilla Syrup 1L
S00007,Quotation created,2025-09-08T06:33:06+00:00,Sophie Lambert,S00007,,history,,Tearoom Duinen,Belgium,Sophie Lambert,Brussels DC,506.00,EUR,Espresso Beans Brazil 1kg; House Blend Beans 1kg; Oat Milk Barista 12x1L
S00007,Order confirmed,2025-09-09T06:52:07+00:00,Sophie Lambert,S00007,,history,,Tearoom Duinen,Belgium,Sophie Lambert,Brussels DC,506.00,EUR,Espresso Beans Brazil 1kg; House Blend Beans 1kg; Oat Milk Barista 12x1L
S00007,Goods shipped,2025-09-10T06:56:48+00:00,Marc Dubois,BRU/OUT/00004,,history,,Tearoom Duinen,Belgium,Sophie Lambert,Brussels DC,506.00,EUR,Espresso Beans Brazil 1kg; House Blend Beans 1kg; Oat Milk Barista 12x1L
S00007,Invoice posted,2025-09-11T07:28:57+00:00,Julie Martin,INV/2025/00007,,history,2025-10-11,Tearoom Duinen,Belgium,Sophie Lambert,Brussels DC,506.00,EUR,Espresso Beans Brazil 1kg; House Blend Beans 1kg; Oat Milk Barista 12x1L
S00007,Payment received,2025-10-10T06:27:37+00:00,Julie Martin,INV/2025/00007,,history,,Tearoom Duinen,Belgium,Sophie Lambert,Brussels DC,506.00,EUR,Espresso Beans Brazil 1kg; House Blend Beans 1kg; Oat Milk Barista 12x1L
S00008,Quotation created,2025-09-08T06:51:00+00:00,Kasia Nowak,S00008,,history,,Kawiarnia Rynek,Poland,Kasia Nowak,Warsaw DC,120.00,EUR,Earl Grey Tea 500g
S00008,Quotation sent,2025-09-08T09:57:13+00:00,Kasia Nowak,S00008,,history,,Kawiarnia Rynek,Poland,Kasia Nowak,Warsaw DC,120.00,EUR,Earl Grey Tea 500g
S00008,Order confirmed,2025-09-10T06:05:38+00:00,Kasia Nowak,S00008,,history,,Kawiarnia Rynek,Poland,Kasia Nowak,Warsaw DC,120.00,EUR,Earl Grey Tea 500g
S00008,Goods shipped,2025-09-11T06:39:40+00:00,Ola Wiśniewska,WAW/OUT/00005,,history,,Kawiarnia Rynek,Poland,Kasia Nowak,Warsaw DC,120.00,EUR,Earl Grey Tea 500g
S00008,Invoice posted,2025-09-12T08:08:02+00:00,Anna Kowalczyk,INV/2025/00010,,history,2025-10-12,Kawiarnia Rynek,Poland,Kasia Nowak,Warsaw DC,120.00,EUR,Earl Grey Tea 500g
S00008,Payment received,2025-10-20T06:36:53+00:00,Anna Kowalczyk,INV/2025/00010,,history,,Kawiarnia Rynek,Poland,Kasia Nowak,Warsaw DC,120.00,EUR,Earl Grey Tea 500g
S00009,Quotation created,2025-09-08T06:53:50+00:00,Piotr Zieliński,S00009,,history,,Hotel Nad Wisłą,Poland,Piotr Zieliński,Warsaw DC,225.00,EUR,Paper Cups 12oz x1000
S00009,Quotation sent,2025-09-08T09:27:00+00:00,Piotr Zieliński,S00009,,history,,Hotel Nad Wisłą,Poland,Piotr Zieliński,Warsaw DC,225.00,EUR,Paper Cups 12oz x1000
S00009,Order confirmed,2025-09-10T06:40:55+00:00,Piotr Zieliński,S00009,,history,,Hotel Nad Wisłą,Poland,Piotr Zieliński,Warsaw DC,225.00,EUR,Paper Cups 12oz x1000
S00009,Goods shipped,2025-09-11T06:13:29+00:00,Ola Wiśniewska,WAW/OUT/00006,,history,,Hotel Nad Wisłą,Poland,Piotr Zieliński,Warsaw DC,225.00,EUR,Paper Cups 12oz x1000
S00009,Invoice posted,2025-09-12T08:37:59+00:00,Anna Kowalczyk,INV/2025/00011,,history,2025-10-12,Hotel Nad Wisłą,Poland,Piotr Zieliński,Warsaw DC,225.00,EUR,Paper Cups 12oz x1000
S00009,Payment received,2025-11-28T09:21:55+00:00,Anna Kowalczyk,INV/2025/00011,,history,,Hotel Nad Wisłą,Poland,Piotr Zieliński,Warsaw DC,225.00,EUR,Paper Cups 12oz x1000
S00010,Quotation created,2025-09-08T07:21:14+00:00,Tom Peeters,S00010,,history,,Kantine Noord,Belgium,Tom Peeters,Brussels DC,1352.00,EUR,Chai Latte Mix 1kg; Espresso Beans Ethiopia 1kg; House Blend Beans 1kg
S00010,Quotation sent,2025-09-08T08:55:17+00:00,Tom Peeters,S00010,,history,,Kantine Noord,Belgium,Tom Peeters,Brussels DC,1352.00,EUR,Chai Latte Mix 1kg; Espresso Beans Ethiopia 1kg; House Blend Beans 1kg
S00010,Order confirmed,2025-09-10T09:18:12+00:00,Tom Peeters,S00010,,history,,Kantine Noord,Belgium,Tom Peeters,Brussels DC,1352.00,EUR,Chai Latte Mix 1kg; Espresso Beans Ethiopia 1kg; House Blend Beans 1kg
S00010,Goods shipped,2025-09-12T06:58:00+00:00,Marc Dubois,BRU/OUT/00006,,history,,Kantine Noord,Belgium,Tom Peeters,Brussels DC,1352.00,EUR,Chai Latte Mix 1kg; Espresso Beans Ethiopia 1kg; House Blend Beans 1kg
S00010,Invoice posted,2025-09-15T08:27:14+00:00,Julie Martin,INV/2025/00012,,history,2025-10-15,Kantine Noord,Belgium,Tom Peeters,Brussels DC,1352.00,EUR,Chai Latte Mix 1kg; Espresso Beans Ethiopia 1kg; House Blend Beans 1kg
S00010,Payment received,2025-10-10T06:21:32+00:00,Julie Martin,INV/2025/00012,,history,,Kantine Noord,Belgium,Tom Peeters,Brussels DC,1352.00,EUR,Chai Latte Mix 1kg; Espresso Beans Ethiopia 1kg; House Blend Beans 1kg
S00011,Quotation created,2025-09-08T11:26:19+00:00,Piotr Zieliński,S00011,,history,,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,90.00,EUR,Espresso Beans Brazil 1kg
S00011,Order confirmed,2025-09-09T06:02:21+00:00,Piotr Zieliński,S00011,,history,,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,90.00,EUR,Espresso Beans Brazil 1kg
S00011,Goods shipped,2025-09-10T06:17:49+00:00,Ola Wiśniewska,WAW/OUT/00004,,history,,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,90.00,EUR,Espresso Beans Brazil 1kg
S00011,Invoice posted,2025-09-11T09:55:52+00:00,Anna Kowalczyk,INV/2025/00008,,history,2025-10-11,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,90.00,EUR,Espresso Beans Brazil 1kg
S00011,Payment received,2025-10-27T07:24:49+00:00,Anna Kowalczyk,INV/2025/00008,,history,,Kawiarnia Rynek,Poland,Piotr Zieliński,Warsaw DC,90.00,EUR,Espresso Beans Brazil 1kg
S00012,Quotation created,2025-09-09T06:16:13+00:00,Sophie Lambert,S00012,,history,,Hotel Horizon Namur,Belgium,Sophie Lambert,Brussels DC,656.00,EUR,Cup Lids x1000; Espresso Beans Ethiopia 1kg; Vanilla Syrup 1L
S00012,Quotation sent,2025-09-09T06:54:50+00:00,Sophie Lambert,S00012,,history,,Hotel Horizon Namur,Belgium,Sophie Lambert,Brussels DC,656.00,EUR,Cup Lids x1000; Espresso Beans Ethiopia 1kg; Vanilla Syrup 1L
S00012,Order confirmed,2025-09-10T06:49:26+00:00,Sophie Lambert,S00012,,history,,Hotel Horizon Namur,Belgium,Sophie Lambert,Brussels DC,656.00,EUR,Cup Lids x1000; Espresso Beans Ethiopia 1kg; Vanilla Syrup 1L
S00012,Goods shipped,2025-09-11T09:08:34+00:00,Marc Dubois,BRU/OUT/00005,,history,,Hotel Horizon Namur,Belgium,Sophie Lambert,Brussels DC,656.00,EUR,Cup Lids x1000; Espresso Beans Ethiopia 1kg; Vanilla Syrup 1L
S00012,Invoice posted,2025-09-12T07:53:13+00:00,Julie Martin,INV/2025/00009,,history,2025-10-12,Hotel Horizon Namur,Belgium,Sophie Lambert,Brussels DC,656.00,EUR,Cup Lids x1000; Espresso Beans Ethiopia 1kg; Vanilla Syrup 1L
S00012,Payment received,2025-10-13T06:20:25+00:00,Julie Martin,INV/2025/00009,,history,,Hotel Horizon Namur,Belgium,Sophie Lambert,Brussels DC,656.00,EUR,Cup Lids x1000; Espresso Beans Ethiopia 1kg; Vanilla Syrup 1L
S00013,Quotation created,2025-09-09T13:49:43+00:00,Tom Peeters,S00013,,history,,Campus Kitchen Louvain,Belgium,Tom Peeters,Brussels DC,768.00,EUR,Barista Apron; Ground Coffee 250g; House Blend Beans 1kg
S00013,Quotation sent,2025-09-10T06:00:12+00:00,Tom Peeters,S00013,,history,,Campus Kitchen Louvain,Belgium,Tom Peeters,Brussels DC,768.00,EUR,Barista Apron; Ground Coffee 250g; House Blend Beans 1kg
S00013,Order confirmed,2025-09-16T15:30:57+00:00,Tom Peeters,S00013,,history,,Campus Kitchen Louvain,Belgium,Tom Peeters,Brussels DC,768.00,EUR,Barista Apron; Ground Coffee 250g; House Blend Beans 1kg
S00013,Goods shipped,2025-09-18T06:07:58+00:00,Marc Dubois,BRU/OUT/00007,,history,,Campus Kitchen Louvain,Belgium,Tom Peeters,Brussels DC,768.00,EUR,Barista Apron; Ground Coffee 250g; House Blend Beans 1kg
S00013,Invoice posted,2025-09-19T07:39:45+00:00,Julie Martin,INV/2025/00016,,history,2025-10-19,Campus Kitchen Louvain,Belgium,Tom Peeters,Brussels DC,768.00,EUR,Barista Apron; Ground Coffee 250g; House Blend Beans 1kg
S00013,Payment received,2025-10-20T06:50:02+00:00,Julie Martin,INV/2025/00016,,history,,Campus Kitchen Louvain,Belgium,Tom Peeters,Brussels DC,768.00,EUR,Barista Apron; Ground Coffee 250g; House Blend Beans 1kg
S00014,Quotation created,2025-09-09T15:26:10+00:00,Piotr Zieliński,S00014,,history,,Coworking Praga,Poland,Piotr Zieliński,Warsaw DC,688.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00014,Quotation sent,2025-09-10T06:32:17+00:00,Piotr Zieliński,S00014,,history,,Coworking Praga,Poland,Piotr Zieliński,Warsaw DC,688.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00014,Order confirmed,2025-09-11T06:41:15+00:00,Piotr Zieliński,S00014,,history,,Coworking Praga,Poland,Piotr Zieliński,Warsaw DC,688.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00014,Goods shipped,2025-09-15T06:02:17+00:00,Ola Wiśniewska,WAW/OUT/00007,,history,,Coworking Praga,Poland,Piotr Zieliński,Warsaw DC,688.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00014,Invoice posted,2025-09-17T07:46:08+00:00,Anna Kowalczyk,INV/2025/00013,,history,2025-10-17,Coworking Praga,Poland,Piotr Zieliński,Warsaw DC,688.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00014,Payment received,2025-11-26T07:19:24+00:00,Anna Kowalczyk,INV/2025/00013,,history,,Coworking Praga,Poland,Piotr Zieliński,Warsaw DC,688.00,EUR,Espresso Beans Ethiopia 1kg; Oat Milk Barista 12x1L
S00015,Quotation created,2025-09-11T06:21:58+00:00,Kasia Nowak,S00015,,history,,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,96.00,EUR,House Blend Beans 1kg
S00015,Quotation sent,2025-09-11T11:15:21+00:00,Kasia Nowak,S00015,,history,,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,96.00,EUR,House Blend Beans 1kg
S00015,Order confirmed,2025-09-18T06:13:49+00:00,Kasia Nowak,S00015,,history,,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,96.00,EUR,House Blend Beans 1kg
S00015,Goods shipped,2025-09-19T06:04:23+00:00,Ola Wiśniewska,WAW/OUT/00011,,history,,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,96.00,EUR,House Blend Beans 1kg
S00015,Invoice posted,2025-09-22T07:22:10+00:00,Anna Kowalczyk,INV/2025/00019,,history,2025-10-22,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,96.00,EUR,House Blend Beans 1kg
S00015,Payment received,2025-11-11T07:20:11+00:00,Anna Kowalczyk,INV/2025/00019,,history,,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,96.00,EUR,House Blend Beans 1kg
S00016,Quotation created,2025-09-12T14:59:08+00:00,Kasia Nowak,S00016,,history,,Biuro Centrum Wola,Poland,Kasia Nowak,Warsaw DC,126.00,EUR,Espresso Beans Brazil 1kg; Ground Coffee 250g
S00016,Quotation sent,2025-09-15T06:41:01+00:00,Kasia Nowak,S00016,,history,,Biuro Centrum Wola,Poland,Kasia Nowak,Warsaw DC,126.00,EUR,Espresso Beans Brazil 1kg; Ground Coffee 250g
S00016,Order confirmed,2025-09-17T06:02:21+00:00,Kasia Nowak,S00016,,history,,Biuro Centrum Wola,Poland,Kasia Nowak,Warsaw DC,126.00,EUR,Espresso Beans Brazil 1kg; Ground Coffee 250g
S00016,Goods shipped,2025-09-18T06:42:44+00:00,Ola Wiśniewska,WAW/OUT/00009,,history,,Biuro Centrum Wola,Poland,Kasia Nowak,Warsaw DC,126.00,EUR,Espresso Beans Brazil 1kg; Ground Coffee 250g
S00016,Invoice posted,2025-09-22T09:18:19+00:00,Anna Kowalczyk,INV/2025/00022,,history,2025-10-22,Biuro Centrum Wola,Poland,Kasia Nowak,Warsaw DC,126.00,EUR,Espresso Beans Brazil 1kg; Ground Coffee 250g
S00016,Payment received,2025-10-13T12:31:30+00:00,Anna Kowalczyk,INV/2025/00022,,history,,Biuro Centrum Wola,Poland,Kasia Nowak,Warsaw DC,126.00,EUR,Espresso Beans Brazil 1kg; Ground Coffee 250g
S00017,Quotation created,2025-09-15T06:03:12+00:00,Tom Peeters,S00017,,history,,Hotel Lindenhof,Belgium,Tom Peeters,Brussels DC,1200.00,EUR,Cup Lids x1000; Earl Grey Tea 500g; Oat Milk Barista 12x1L; Paper Cups 12oz x1000
S00017,Quotation sent,2025-09-15T10:49:18+00:00,Tom Peeters,S00017,,history,,Hotel Lindenhof,Belgium,Tom Peeters,Brussels DC,1200.00,EUR,Cup Lids x1000; Earl Grey Tea 500g; Oat Milk Barista 12x1L; Paper Cups 12oz x1000
S00017,Order confirmed,2025-09-18T06:34:02+00:00,Tom Peeters,S00017,,history,,Hotel Lindenhof,Belgium,Tom Peeters,Brussels DC,1200.00,EUR,Cup Lids x1000; Earl Grey Tea 500g; Oat Milk Barista 12x1L; Paper Cups 12oz x1000
S00017,Goods shipped,2025-09-19T08:04:43+00:00,Marc Dubois,BRU/OUT/00009,,history,,Hotel Lindenhof,Belgium,Tom Peeters,Brussels DC,1200.00,EUR,Cup Lids x1000; Earl Grey Tea 500g; Oat Milk Barista 12x1L; Paper Cups 12oz x1000
S00017,Invoice posted,2025-09-22T08:30:15+00:00,Julie Martin,INV/2025/00021,,history,2025-10-22,Hotel Lindenhof,Belgium,Tom Peeters,Brussels DC,1200.00,EUR,Cup Lids x1000; Earl Grey Tea 500g; Oat Milk Barista 12x1L; Paper Cups 12oz x1000
S00017,Payment received,2025-10-13T06:44:18+00:00,Julie Martin,INV/2025/00021,,history,,Hotel Lindenhof,Belgium,Tom Peeters,Brussels DC,1200.00,EUR,Cup Lids x1000; Earl Grey Tea 500g; Oat Milk Barista 12x1L; Paper Cups 12oz x1000
S00018,Quotation created,2025-09-15T06:42:16+00:00,Piotr Zieliński,S00018,,history,,Kawiarnia Ogród,Poland,Piotr Zieliński,Warsaw DC,144.00,EUR,Ground Coffee 250g
S00018,Order confirmed,2025-09-17T06:46:33+00:00,Piotr Zieliński,S00018,,history,,Kawiarnia Ogród,Poland,Piotr Zieliński,Warsaw DC,144.00,EUR,Ground Coffee 250g
S00018,Goods shipped,2025-09-18T06:07:15+00:00,Ola Wiśniewska,WAW/OUT/00010,,history,,Kawiarnia Ogród,Poland,Piotr Zieliński,Warsaw DC,144.00,EUR,Ground Coffee 250g
S00018,Invoice posted,2025-09-22T08:21:23+00:00,Anna Kowalczyk,INV/2025/00020,,history,2025-10-22,Kawiarnia Ogród,Poland,Piotr Zieliński,Warsaw DC,144.00,EUR,Ground Coffee 250g
S00018,Payment received,2025-10-07T08:26:36+00:00,Anna Kowalczyk,INV/2025/00020,,history,,Kawiarnia Ogród,Poland,Piotr Zieliński,Warsaw DC,144.00,EUR,Ground Coffee 250g
S00019,Quotation created,2025-09-15T13:29:40+00:00,Kasia Nowak,S00019,,history,,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,385.00,EUR,Espresso Beans Ethiopia 1kg; House Blend Beans 1kg; Paper Cups 12oz x1000
S00019,Order confirmed,2025-09-16T06:46:58+00:00,Kasia Nowak,S00019,,history,,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,385.00,EUR,Espresso Beans Ethiopia 1kg; House Blend Beans 1kg; Paper Cups 12oz x1000
S00019,Goods shipped,2025-09-17T06:03:51+00:00,Ola Wiśniewska,WAW/OUT/00008,,history,,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,385.00,EUR,Espresso Beans Ethiopia 1kg; House Blend Beans 1kg; Paper Cups 12oz x1000
S00019,Invoice posted,2025-09-18T08:56:24+00:00,Anna Kowalczyk,INV/2025/00015,,history,2025-10-18,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,385.00,EUR,Espresso Beans Ethiopia 1kg; House Blend Beans 1kg; Paper Cups 12oz x1000
S00019,Payment received,2025-11-25T07:25:05+00:00,Anna Kowalczyk,INV/2025/00015,,history,,Restauracja Odra,Poland,Kasia Nowak,Warsaw DC,385.00,EUR,Espresso Beans Ethiopia 1kg; House Blend Beans 1kg; Paper Cups 12oz x1000
S00020,Quotation created,2025-09-15T14:58:05+00:00,Sophie Lambert,S00020,,history,,Tearoom Duinen,Belgium,Sophie Lambert,Brussels DC,199.00,EUR,Chai Latte Mix 1kg; Espresso Beans Brazil 1kg; House Blend Beans 1kg
S00020,Quotation sent,2025-09-15T15:24:46+00:00,Sophie Lambert,S00020,,history,,Tearoom Duinen,Belgium,Sophie Lambert,Brussels DC,199.00,EUR,Chai Latte Mix 1kg; Espresso Beans Brazil 1kg; House Blend Beans 1kg
S00020,Order cancelled,2025-10-13T06:40:49+00:00,Sophie Lambert,S00020,,history,,Tearoom Duinen,Belgium,Sophie Lambert,Brussels DC,199.00,EUR,Chai Latte Mix 1kg; Espresso Beans Brazil 1kg; House Blend Beans 1kg
S00021,Quotation created,2025-09-16T08:47:13+00:00,Piotr Zieliński,S00021,,history,,Kawiarnia Mokotów,Poland,Piotr Zieliński,Warsaw DC,516.00,EUR,Decaf Colombia Beans 1kg; Espresso Beans Ethiopia 1kg
S00021,Quotation sent,2025-09-16T14:27:46+00:00,Piotr Zieliński,S00021,,history,,Kawiarnia Mokotów,Poland,Piotr Zieliński,Warsaw DC,516.00,EUR,Decaf Colombia Beans 1kg; Espresso Beans Ethiopia 1kg
